Casino,Gross Receipts,Gross Retail Receipts,Gross Online Receipts,Date,Online_co,Betting Type,Month,Total
Ameristar Casino,1312224,"1,312,224.00",,09-01-2019,,Retail,,
Blue Chip Casino,921481,"921,481.00",,09-01-2019,,Retail,,
Horseshoe Hammond,1977650,"1,977,650.00",,09-01-2019,,Retail,,
Belterra Casino,131672,"131,672.00",,09-01-2019,,Retail,,
Caesars Southern Indiana,293330,"293,330.00",,09-01-2019,,Retail,,
French Lick Resort,157608,"157,608.00",,09-01-2019,,Retail,,
Hollywood Lawrenceburg,1207013,"1,207,013.00",,09-01-2019,,Retail,,
Tropicana Evansville,298958,"298,958.00",,09-01-2019,,Retail,,
Harrah's Hoosier Park,283154,"283,154.00",,09-01-2019,,Retail,,
Harrah's Hoosier Park,807895,"807,895.00",,09-01-2019,,Retail,,
Harrah's Hoosier Park,155563,"155,563.00",,09-01-2019,,Retail,,
Indiana Grand,440175,"440,175.00",,09-01-2019,,Retail,,
Indiana Grand,298139,"298,139.00",,09-01-2019,,Retail,,
,,,,,,,Sep-2019 Retail Total:,"8,284,862.00"
,,,,,,,Sep-2019 Online Total,0.00
Ameristar Casino,3491063,,"3,491,063.00",10-01-2019,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,1009076,"1,009,076.00",,10-01-2019,,Retail,,
Blue Chip Casino,197786,,"197,786.00",10-01-2019,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,741048,"741,048.00",,10-01-2019,,Retail,,
Horseshoe Hammond,1682353,"1,682,353.00",,10-01-2019,,Retail,,
Belterra Casino,150692,"150,692.00",,10-01-2019,,Retail,,
Caesars Southern Indiana,128192,"128,192.00",,10-01-2019,,Retail,,
French Lick Resort,496744,,"496,744.00",10-01-2019,FL - IN.betrivers.com,online,,
French Lick Resort,73745,"73,745.00",,10-01-2019,,Retail,,
Hollywood Lawrenceburg,843970,"843,970.00",,10-01-2019,,Retail,,
Tropicana Evansville,324200,"324,200.00",,10-01-2019,,Retail,,
Harrah's Hoosier Park,240511,"240,511.00",,10-01-2019,,Retail,,
Harrah's Hoosier Park,476743,"476,743.00",,10-01-2019,,Retail,,
Harrah's Hoosier Park,257213,"257,213.00",,10-01-2019,,Retail,,
Indiana Grand,206266,"206,266.00",,10-01-2019,,Retail,,
Indiana Grand,309874,"309,874.00",,10-01-2019,,Retail,,
,,,,,,,Oct-2019 Retial Total:,"6,443,883.00"
,,,,,,,Oct- 2019 Online Total:,"4,185,593.00"
Ameristar Casino,4285918,,"4,285,918.00",11-01-2019,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,735103,"735,103.00",,11-01-2019,,Retail,,
Blue Chip Casino,1669784,,"1,669,784.00",11-01-2019,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,310955,"310,955.00",,11-01-2019,,Retail,,
Horseshoe Hammond,800208,"800,208.00",,11-01-2019,,Retail,,
Belterra Casino,92233,"92,233.00",,11-01-2019,,Retail,,
Caesars Southern Indiana,106081,"106,081.00",,11-01-2019,,Retail,,
French Lick Resort,476284,,"476,284.00",11-01-2019,FL - IN.betrivers.com,online,,
French Lick Resort,45357,"45,357.00",,11-01-2019,,Retail,,
Hollywood Lawrenceburg,1149215,"1,149,215.00",,11-01-2019,,Retail,,
Rising Star Casino,18373,"18,373.00",,11-01-2019,,Retail,,
Tropicana Evansville,174841,"174,841.00",,11-01-2019,,Retail,,
Harrah's Hoosier Park,158190,"158,190.00",,11-01-2019,,Retail,,
Harrah's Hoosier Park,307513,"307,513.00",,11-01-2019,,Retail,,
Harrah's Hoosier Park,92061,"92,061.00",,11-01-2019,,Retail,,
Indiana Grand,47342,"47,342.00",,11-01-2019,,Retail,,
Indiana Grand,123863,"123,863.00",,11-01-2019,,Retail,,
,,,,,,,Nov-2019 Retial Total:,"4,161,335.00"
,,,,,,,Nov-2019 Online Total:,"6,431,986.00"
Ameristar Casino,5043752,,"5,043,752.00",12-01-2019,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,928211,"928,211.00",,12-01-2019,,Retail,,
Blue Chip Casino,2208368,,"2,208,368.00",12-01-2019,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,186802,"186,802.00",,12-01-2019,,Retail,,
Horseshoe Hammond,1148008,"1,148,008.00",,12-01-2019,,Retail,,
Belterra Casino,151640,"151,640.00",,12-01-2019,,Retail,,
Caesars Southern Indiana,170884,"170,884.00",,12-01-2019,,Retail,,
French Lick Resort,528200,,"528,200.00",12-01-2019,FL - IN.betrivers.com,online,,
French Lick Resort,13587,"13,587.00",,12-01-2019,,Retail,,
Hollywood Lawrenceburg,824235,"824,235.00",,12-01-2019,,Retail,,
Rising Star Casino,31037,"31,037.00",,12-01-2019,,Retail,,
Rising Star Casino,-1173,,"-1,173.00",12-01-2019,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,185176,"185,176.00",,12-01-2019,,Retail,,
Harrah's Hoosier Park,30240,"30,240.00",,12-01-2019,,Retail,,
Harrah's Hoosier Park,268091,"268,091.00",,12-01-2019,,Retail,,
Harrah's Hoosier Park,142781,"142,781.00",,12-01-2019,,Retail,,
Indiana Grand,42225,"42,225.00",,12-01-2019,,Retail,,
Indiana Grand,166050,"166,050.00",,12-01-2019,,Retail,,
,,,,,,,Dec-2019 Retial Total:,"4,288,967.00"
,,,,,,,Dec-2019 Online Total:,"7,779,147.00"
Ameristar Casino,4575936,,"4,575,936.00",01-01-2020,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,1438143,"1,438,143.00",,01-01-2020,,Retail,,
Blue Chip Casino,1930685,,"1,930,685.00",01-01-2020,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,279868,"279,868.00",,01-01-2020,,Retail,,
Horseshoe Hammond,1803809,"1,803,809.00",,01-01-2020,,Retail,,
Belterra Casino,8077,"8,077.00",,01-01-2020,,Retail,,
Caesars Southern Indiana,143966,"143,966.00",,01-01-2020,,Retail,,
French Lick Resort,590178,,"590,178.00",01-01-2020,FL - IN.betrivers.com,online,,
French Lick Resort,14132,"14,132.00",,01-01-2020,,Retail,,
Hollywood Lawrenceburg,578993,"578,993.00",,01-01-2020,,Retail,,
Rising Star Casino,-40497,"-40,497.00",,01-01-2020,,Retail,,
Rising Star Casino,1854,,"1,854.00",01-01-2020,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,210974,"210,974.00",,01-01-2020,,Retail,,
Harrah's Hoosier Park,92545,"92,545.00",,01-01-2020,,Retail,,
Harrah's Hoosier Park,226466,"226,466.00",,01-01-2020,,Retail,,
Harrah's Hoosier Park,2775,"2,775.00",,01-01-2020,,Retail,,
Indiana Grand,160491,"160,491.00",,01-01-2020,,Retail,,
Indiana Grand,204827,"204,827.00",,01-01-2020,,Retail,,
,,,,,,,Jan-2020 Retail Total:,"5,124,569.00"
,,,,,,,Jan-2020 Online Total:,"7,098,653.00"
Ameristar Casino,5701990,,"5,701,990.00",02-01-2020,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,345660,"345,660.00",,02-01-2020,,Retail,,
Blue Chip Casino,2662677,,"2,662,677.00",02-01-2020,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,3008,"3,008.00",,02-01-2020,,Retail,,
Horseshoe Hammond,52445,"52,445.00",,02-01-2020,,Retail,,
Belterra Casino,13175,,"13,175.00",02-01-2020, BT - Sports.IN.BetMGM.com ,online,,
Belterra Casino,46173,"46,173.00",,02-01-2020,,Retail,,
 Caesars Southern Indiana ,16774,"16,774.00",,02-01-2020,,Retail,,
 French Lick Resort ,348869,,"348,869.00",02-01-2020, FL - IN.betrivers.com ,online,,
 French Lick Resort ,27015,"27,015.00",,02-01-2020,,Retail,,
 Hollywood Lawrenceburg ,308577,"308,577.00",,02-01-2020,,Retail,,
 Rising Star Casino ,11723,"11,723.00",,02-01-2020,,Retail,,
 Rising Star Casino ,-6169,,"-6,169.00",02-01-2020, RS - IN.BetAmerica.com ,online,,
 Tropicana Evansville ,31513,"31,513.00",,02-01-2020,,Retail,,
Harrah's Hoosier Park,91315,"91,315.00",,02-01-2020,,Retail,,
Harrah's Hoosier Park,129539,"129,539.00",,02-01-2020,,Retail,,
Harrah's Hoosier Park,80910,"80,910.00",,02-01-2020,,Retail,,
 Indiana Grand ,96115,"96,115.00",,02-01-2020,,Retail,,
 Indiana Grand ,420645,"420,645.00",,02-01-2020,,Retail,,
,,,,,,,Feb-2020 Retail Total:,"1,661,412.00"
,,,,,,,Feb-2020 Online Total: ,"8,720,542.00"
Ameristar Casino,2426665,,"2,426,665.00",03-01-2020,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,232186,"232,186.00",,03-01-2020,,Retail,,
Blue Chip Casino,1449880,,"1,449,880.00",03-01-2020,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,10736,"10,736.00",,03-01-2020,,Retail,,
Horseshoe Hammond,211475,"211,475.00",,03-01-2020,,Retail,,
Belterra Casino,370669,,"370,669.00",03-01-2020,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,-35082,"-35,082.00",,03-01-2020,,Retail,,
Caesars Southern Indiana,-25689,"-25,689.00",,03-01-2020,,Retail,,
French Lick Resort,343482,,"343,482.00",03-01-2020,FL - IN.betrivers.com,online,,
French Lick Resort,-16027,"-16,027.00",,03-01-2020,,Retail,,
Hollywood Lawrenceburg,65390,,"65,390.00",03-01-2020,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,186382,"186,382.00",,03-01-2020,,Retail,,
Rising Star Casino,-5903,"-5,903.00",,03-01-2020,,Retail,,
Rising Star Casino,8233,,"8,233.00",03-01-2020,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,-49753,"-49,753.00",,03-01-2020,,Retail,,
Harrah's Hoosier Park,-86875,"-86,875.00",,03-01-2020,,Retail,,
Harrah's Hoosier Park,77670,"77,670.00",,03-01-2020,,Retail,,
Harrah's Hoosier Park,41664,"41,664.00",,03-01-2020,,Retail,,
Indiana Grand,-8045,"-8,045.00",,03-01-2020,,Retail,,
Indiana Grand,103133,"103,133.00",,03-01-2020,,Retail,,
,,,,,,,Mar-2020 Retial Total:,"635,872.00"
,,,,,,,Mar-2020 Online Total:,"4,664,319.00"
Ameristar Casino,908322,,"908,322.00",04-01-2020,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,0,0.00,,04-01-2020,,Retail,,
Blue Chip Casino,558155,,"558,155.00",04-01-2020,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,0,0.00,,04-01-2020,,Retail,,
Horseshoe Hammond,0,0.00,,04-01-2020,,Retail,,
Belterra Casino,48043,,"48,043.00",04-01-2020,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,0,0.00,,04-01-2020,,Retail,,
Caesars Southern Indiana,0,0.00,,04-01-2020,,Retail,,
French Lick Resort,116726,,"116,726.00",04-01-2020,FL - IN.betrivers.com,online,,
French Lick Resort,-442,-442.00,,04-01-2020,,Retail,,
Hollywood Lawrenceburg,-4768,,"-4,768.00",04-01-2020,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,0,0.00,,04-01-2020,,Retail,,
Rising Star Casino,0,0.00,,04-01-2020,,Retail,,
Rising Star Casino,3519,,"3,519.00",04-01-2020,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,0,0.00,,04-01-2020,,Retail,,
Harrah's Hoosier Park,0,0.00,,04-01-2020,,Retail,,
Harrah's Hoosier Park,0,0.00,,04-01-2020,,Retail,,
Harrah's Hoosier Park,0,0.00,,04-01-2020,,Retail,,
Indiana Grand,0,0.00,,04-01-2020,,Retail,,
Indiana Grand,0,0.00,,04-01-2020,,Retail,,
,,,,,,,Apr-2020 Retail Total:,-442.00
,,,,,,,Apr-2020 Online Total:,"1,629,997.00"
Ameristar Casino,1801639,,"1,801,639.00",05-01-2020,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,0,0.00,,05-01-2020,,Retail,,
Blue Chip Casino,1056061,,"1,056,061.00",05-01-2020,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,0,0.00,,05-01-2020,,Retail,,
Horseshoe Hammond,2755,,"2,755.00",05-01-2020,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,0,0.00,,05-01-2020,,Retail,,
Belterra Casino,123467,,"123,467.00",05-01-2020,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,0,0.00,,05-01-2020,,Retail,,
Caesars Southern Indiana,0,0.00,,05-01-2020,,Retail,,
French Lick Resort,168721,,"168,721.00",05-01-2020,FL - IN.betrivers.com,online,,
French Lick Resort,-341,-341.00,,05-01-2020,,Retail,,
Hollywood Lawrenceburg,74687,,"74,687.00",05-01-2020,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,0,0.00,,05-01-2020,,Retail,,
Rising Star Casino,0,0.00,,05-01-2020,,Retail,,
Rising Star Casino,10042,,"10,042.00",05-01-2020,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,0,0.00,,05-01-2020,,Retail,,
Harrah's Hoosier Park,0,0.00,,05-01-2020,,Retail,,
Harrah's Hoosier Park,0,0.00,,05-01-2020,,Retail,,
Harrah's Hoosier Park,0,0.00,,05-01-2020,,Retail,,
Indiana Grand,0,0.00,,05-01-2020,,Retail,,
Indiana Grand,0,0.00,,05-01-2020,,Retail,,
,,,,,,,May-2020 Retail Total:,-341.00
,,,,,,,May-2020 Online Total:,"3,237,372.00"
Ameristar Casino,1600537,,"1,600,537.00",06-01-2020,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,-60108,"-60,108.00",,06-01-2020,,Retail,,
Blue Chip Casino,839056,,"839,056.00",06-01-2020,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,-43349,"-43,349.00",,06-01-2020,,Retail,,
Horseshoe Hammond,3658,,"3,658.00",06-01-2020,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,-30844,"-30,844.00",,06-01-2020,,Retail,,
Belterra Casino,132133,,"132,133.00",06-01-2020,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,-11798,"-11,798.00",,06-01-2020,,Retail,,
Caesars Southern Indiana,-31629,"-31,629.00",,06-01-2020,,Retail,,
French Lick Resort,157889,,"157,889.00",06-01-2020,FL - IN.betrivers.com,online,,
French Lick Resort,-154,-154.00,,06-01-2020,,Retail,,
Hollywood Lawrenceburg,33442,,"33,442.05",06-01-2020,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,-35912,"-35,911.81",,06-01-2020,,Retail,,
Rising Star Casino,-1200,"-1,199.97",,06-01-2020,,Retail,,
