Category: All categories

Month,Sports betting: (Indiana)
2004-01,40
2004-02,0
2004-03,0
2004-04,0
2004-05,31
2004-06,40
2004-07,0
2004-08,0
2004-09,59
2004-10,41
2004-11,0
2004-12,25
2005-01,47
2005-02,30
2005-03,32
2005-04,31
2005-05,24
2005-06,0
2005-07,0
2005-08,29
2005-09,35
2005-10,40
2005-11,42
2005-12,34
2006-01,39
2006-02,25
2006-03,31
2006-04,0
2006-05,28
2006-06,18
2006-07,15
2006-08,19
2006-09,50
2006-10,37
2006-11,28
2006-12,31
2007-01,40
2007-02,34
2007-03,21
2007-04,16
2007-05,28
2007-06,0
2007-07,10
2007-08,14
2007-09,41
2007-10,39
2007-11,27
2007-12,21
2008-01,25
2008-02,26
2008-03,20
2008-04,15
2008-05,26
2008-06,7
2008-07,12
2008-08,17
2008-09,40
2008-10,23
2008-11,31
2008-12,16
2009-01,24
2009-02,19
2009-03,19
2009-04,15
2009-05,17
2009-06,9
2009-07,10
2009-08,13
2009-09,33
2009-10,26
2009-11,28
2009-12,20
2010-01,29
2010-02,29
2010-03,18
2010-04,19
2010-05,19
2010-06,13
2010-07,6
2010-08,8
2010-09,20
2010-10,23
2010-11,18
2010-12,14
2011-01,24
2011-02,28
2011-03,19
2011-04,16
2011-05,27
2011-06,8
2011-07,9
2011-08,12
2011-09,31
2011-10,24
2011-11,21
2011-12,21
2012-01,22
2012-02,27
2012-03,19
2012-04,13
2012-05,20
2012-06,14
2012-07,11
2012-08,14
2012-09,24
2012-10,25
2012-11,22
2012-12,22
2013-01,24
2013-02,23
2013-03,20
2013-04,15
2013-05,23
2013-06,12
2013-07,9
2013-08,12
2013-09,26
2013-10,17
2013-11,21
2013-12,16
2014-01,24
2014-02,27
2014-03,16
2014-04,17
2014-05,23
2014-06,16
2014-07,13
2014-08,15
2014-09,24
2014-10,25
2014-11,22
2014-12,17
2015-01,30
2015-02,22
2015-03,21
2015-04,19
2015-05,26
2015-06,15
2015-07,14
2015-08,13
2015-09,26
2015-10,24
2015-11,20
2015-12,23
2016-01,22
2016-02,31
2016-03,20
2016-04,17
2016-05,25
2016-06,19
2016-07,14
2016-08,14
2016-09,24
2016-10,26
2016-11,19
2016-12,13
2017-01,16
2017-02,14
2017-03,13
2017-04,9
2017-05,13
2017-06,7
2017-07,8
2017-08,16
2017-09,16
2017-10,17
2017-11,14
2017-12,13
2018-01,16
2018-02,13
2018-03,22
2018-04,19
2018-05,47
2018-06,19
2018-07,10
2018-08,11
2018-09,23
2018-10,22
2018-11,24
2018-12,24
2019-01,27
2019-02,25
2019-03,21
2019-04,24
2019-05,37
2019-06,19
2019-07,14
2019-08,26
2019-09,68
2019-10,83
2019-11,65
2019-12,59
2020-01,66
2020-02,58
2020-03,22
2020-04,14
2020-05,18
2020-06,22
2020-07,59
2020-08,44
2020-09,66
2020-10,69
2020-11,80
2020-12,69
2021-01,71
2021-02,75
2021-03,54
2021-04,57
2021-05,60
2021-06,52
2021-07,45
2021-08,43
2021-09,74
2021-10,94
2021-11,79
2021-12,61
2022-01,52
2022-02,57
2022-03,45
2022-04,35
2022-05,27
2022-06,24
2022-07,21
2022-08,26
2022-09,53
2022-10,50
2022-11,46
2022-12,42
2023-01,50
2023-02,49
2023-03,52
2023-04,32
2023-05,32
2023-06,22
2023-07,25
2023-08,25
2023-09,55
2023-10,48
2023-11,52
2023-12,45
2024-01,47
2024-02,49
2024-03,44
2024-04,42
2024-05,43
2024-06,33
2024-07,33
2024-08,34
2024-09,62
2024-10,76
2024-11,100
2024-12,60
2025-01,62
2025-02,56
2025-03,48
2025-04,48
2025-05,57
2025-06,43
